DEBUG 2025-02-08 18:41:19,602 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\email\mime\text.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,602 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1739036250.8638766
DEBUG 2025-02-08 18:41:19,602 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\asyncio\sslproto.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,602 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\signing.py first seen with mtime 1739036231.8373382
DEBUG 2025-02-08 18:41:19,602 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1739036227.387961
DEBUG 2025-02-08 18:41:19,602 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\http\client.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,602 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1739036232.070051
DEBUG 2025-02-08 18:41:19,604 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\utils\encoders.py first seen with mtime 1739036250.8550544
DEBUG 2025-02-08 18:41:19,604 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1739036250.8618262
DEBUG 2025-02-08 18:41:19,604 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1739036205.1462653
DEBUG 2025-02-08 18:41:19,604 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\prometheus_client\platform_collector.py first seen with mtime 1739046229.5375412
DEBUG 2025-02-08 18:41:19,604 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1739036231.8887722
DEBUG 2025-02-08 18:41:19,604 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\encoding.py first seen with mtime 1739036232.3562694
DEBUG 2025-02-08 18:41:19,604 autoreload File V:\..Dev\Learning-Django\natour\natour_api\__init__.py first seen with mtime 1739036059.453781
DEBUG 2025-02-08 18:41:19,604 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1739036228.2768967
DEBUG 2025-02-08 18:41:19,604 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\struct.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,604 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1739036232.2599938
DEBUG 2025-02-08 18:41:19,604 autoreload File V:\..Dev\Learning-Django\natour\natour_api\pagination.py first seen with mtime 1739049804.2994654
DEBUG 2025-02-08 18:41:19,604 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\asyncio\trsock.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\prometheus_client\samples.py first seen with mtime 1739046229.5410578
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\sysconfig.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\mixins.py first seen with mtime 1739036250.4872928
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1739036205.1538868
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django_prometheus\utils.py first seen with mtime 1739046229.9011233
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\asyncio\exceptions.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\postgres\forms\__init__.py first seen with mtime 1739036230.623387
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1739036231.8465114
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1739036232.3445725
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1739036232.3738236
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\tempfile.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,605 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1739036205.148296
DEBUG 2025-02-08 18:41:19,606 autoreload File V:\..Dev\Learning-Django\natour\natour\urls.py first seen with mtime 1739036059.4527626
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\token.py first seen with mtime 1738695914.0
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\typing.py first seen with mtime 1738695914.0
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\fnmatch.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1739036231.8794649
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\asgiref\sync.py first seen with mtime 1739036224.3209593
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\utils.py first seen with mtime 1739036231.8752875
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\prometheus_client\process_collector.py first seen with mtime 1739046229.539047
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1739036232.1260464
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1739036230.608498
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\conf\__init__.py first seen with mtime 1739036226.8902693
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\email\message.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,606 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1739036232.4040124
DEBUG 2025-02-08 18:41:19,607 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\csv.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,607 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\difflib.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,607 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\base.py first seen with mtime 1739036231.905836
DEBUG 2025-02-08 18:41:19,607 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1739036232.0489473
DEBUG 2025-02-08 18:41:19,607 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\converters.py first seen with mtime 1739036232.3286355
DEBUG 2025-02-08 18:41:19,607 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1252.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,607 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework_simplejwt\serializers.py first seen with mtime 1739036252.4567802
DEBUG 2025-02-08 18:41:19,607 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1739036228.6640632
DEBUG 2025-02-08 18:41:19,607 autoreload File V:\..Dev\Learning-Django\natour\natour_api\views\points.py first seen with mtime 1739050065.4048548
DEBUG 2025-02-08 18:41:19,607 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py first seen with mtime 1738695914.0
DEBUG 2025-02-08 18:41:19,607 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\bisect.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,607 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admindocs\utils.py first seen with mtime 1739036228.2840512
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\prometheus_client\mmap_dict.py first seen with mtime 1739046229.5365434
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\checks.py first seen with mtime 1739036250.4769547
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\_weakrefset.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\weakref.py first seen with mtime 1738695914.0
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\json\scanner.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1739036232.3674114
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\ast.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\asyncio\futures.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1739036231.841424
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1739036232.0653915
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1739036232.103163
DEBUG 2025-02-08 18:41:19,608 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\psycopg2\sql.py first seen with mtime 1739036205.9248059
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1739036229.0217595
